Centroid,Closest_Post_1,Closest_Post_2,Closest_Post_3,Closest_Post_4,Closest_Post_5,Closest_Post_6,Closest_Post_7,Closest_Post_8,Closest_Post_9,Closest_Post_10
0,7675605512,7640490059,7712574531,7679999364,7679999364,7665124471,7650167535,7652527868,7678693474,7657807822
1,7687268061,7645387046,7658627454,7639516717,7637576313,7641352384,7655097695,7679650980,7718480211,7709177958
2,7643507498,7679858734,7660058827,7684206220,7721870077,7712649985,7628682045,7659639800,7659981461,7641748347
3,7672559532,7669249089,7670226000,7681218010,7680354758,7654007986,7712307862,7639431630,7707038009,7653398595
4,7679153671,7710689901,7674475869,7714947765,7664956094,7724099256,7704765049,7721984192,7671778429,7725511648
5,7674255013,7679363281,7646652980,7685756580,7635797331,7655797179,7670052048,7663600745,7666216433,7710129687
6,7721392475,7719369665,7720374956,7661129064,7675174772,7629674039,7711137217,7674634450,7656979307,7635263439
7,7651137280,7722242868,7720455789,7633041560,7634486641,7637782938,7644621365,7684634795,7713847880,7644621365
8,7683506310,7652006148,7678264334,7712445141,7718894241,7684872711,7718828971,7665770665,7659726328,7684033609
9,7710563039,7687029608,7680059014,7712784026,7684954941,7648266098,7710563039,7715426628,7720790449,7665178469
10,7681896124,7681896124,7654598144,7654598144,7684927797,7663056205,7720847144,7687554099,7647067798,7687554099
11,7703322892,7664582152,7715974417,7680005629,7671084924,7642013567,7678634001,7724558338,7705494650,7682291936
12,7702382034,7717003116,7724152344,7648245639,7724152344,7617346898,7711306951,7663775012,7646232143,7659445777
13,7725205230,7658140996,7722453322,7667098255,7680402675,7679319858,7723130457,7672667558,7672435702,7638145297
14,7674166972,7673540048,7706172828,7683107342,7715160964,7725412135,7653622913,7717925786,7653805385,7711378912
15,7656988326,7655619413,7675733529,7677556826,7676182433,7725279883,7659424394,7681063267,7621749276,7675265223
16,7685928864,7643939026,7645510107,7716529093,7675739394,7686760995,7660566137,7636336154,7716701943,7653404209
17,7679876267,7649152758,7636624856,7723709670,7674510056,7639365627,7722545038,7630085043,7672592532,7720249178
18,7677874204,7668248083,7638249051,7655632392,7719513819,7656727200,7719513819,7656579592,7680534003,7647623320
19,7637811083,7677564068,7648396194,7652229084,7670278485,7706318911,7712522091,7636554261,7663750905,7664200277
