Centroid,Closest_Post_1,Closest_Post_2,Closest_Post_3,Closest_Post_4,Closest_Post_5,Closest_Post_6,Closest_Post_7,Closest_Post_8,Closest_Post_9,Closest_Post_10
0,7671766409,7651921274,7709173542,7666094396,7673830383,7644621365,7671704447,7709173542,7723729862,7654305488
1,7680402675,7652545950,7673934164,7653610738,7683725504,7636347132,7680402675,7709000239,7678402676,7672052181
2,7723599392,7675369499,7724990194,7630496613,7679876267,7720453569,7661180293,7661180293,7656658475,7645826139
3,7724781286,7719889967,7629619240,7667675163,7682812170,7667755120,7702322502,7723955138,7647239739,7675604560
4,7686696680,7721170004,7630513969,7704765049,7705252783,7630513969,7684515932,7657480364,7630513969,7636232219
5,7719479582,7656854878,7678631105,7653810805,7679858734,7686599365,7716684679,7660927752,7706254365,7641748347
6,7712018238,7662344228,7709089939,7718077682,7680534003,7655097695,7641352384,7649942066,7668350435,7638249051
7,7663775012,7649241916,7713514866,7712849627,7646709520,7721131484,7682816461,7636610593,7639419201,7646970344
8,7654019005,7657284133,7716701943,7721335189,7685464800,7666195664,7678340208,7651921274,7686791504,7670755671
9,7663750905,7664200277,7680004462,7725194812,7631939048,7631939048,7664705453,7630539669,7667052847,7721668231
10,7716645357,7679008646,7677887861,7655797179,7636570294,7719539588,7640567879,7651032616,7627350675,7636570294
11,7665178469,7680059014,7684954941,7668336558,7723232158,7719263940,7680057088,7686743104,7670423205,7652359480
12,7653279344,7674359211,7613997747,7682629703,7712553617,7670159064,7669343905,7639431630,7665420414,7687268061
13,7675785745,7683506310,7665668398,7655270885,7706523194,7722009894,7648258841,7685880348,7672489044,7717121701
14,7636760927,7720312362,7701178745,7679769256,7709000239,7678324702,7653610738,7717959707,7711157785,7717052226
15,7685252976,7712361660,7652418156,7681297841,7665533046,7711104300,7667277562,7681297841,7686430006,7722159566
16,7712574531,7655637274,7679999364,7679999364,7654061018,7626333175,7668490583,7725804609,7640490059,7710944255
17,7685875411,7673540048,7637474620,7674166972,7710724009,7667290375,7675828447,7709494063,7676189881,7709930340
18,7627252397,7677214511,7710059667,7664582152,7722760779,7671254731,7677032190,7703322892,7669444130,7634925660
19,7656988326,7724472895,7643363327,7672777572,7685707209,7659424394,7712911803,7687590124,7676182433,7646062130
